kubu,hendoritu
千代田区,6.3
中央区,6.4
港区,6
新宿区,3.2
文京区,2.5
台東区,2.1
墨田区,1.5
江東区,2.3
品川区,4.3
目黒区,2.9
大田区,1.8
世田谷区,1.5
渋谷区,2.6
中野区,1.6
杉並区,2
豊島区,2.5
北区,1.2
荒川区,1.3
板橋区,1.1
練馬区,1.2
足立区,0.5
葛飾区,0.6
江戸川区,1.1
